,movieId,title,genres
419,481,Kalifornia (1993),Drama|Thriller
420,482,Killing Zoe (1994),Crime|Drama|Thriller
425,488,M. Butterfly (1993),Drama|Romance
428,491,"Man Without a Face, The (1993)",Drama
430,493,Menace II Society (1993),Action|Crime|Drama
432,495,In the Realm of the Senses (Ai no corrida) (1976),Drama
433,496,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
436,500,Mrs. Doubtfire (1993),Comedy|Drama
437,501,Naked (1993),Drama
439,504,No Escape (1994),Action|Drama|Sci-Fi
441,506,Orlando (1992),Drama|Fantasy|Romance
442,507,"Perfect World, A (1993)",Crime|Drama|Thriller
443,508,Philadelphia (1993),Drama
444,509,"Piano, The (1993)",Drama|Romance
445,510,Poetic Justice (1993),Drama
446,511,"Program, The (1993)",Action|Drama
450,515,"Remains of the Day, The (1993)",Drama|Romance
451,516,Renaissance Man (1994),Comedy|Drama
452,517,Rising Sun (1993),Action|Drama|Mystery
454,519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
457,522,Romper Stomper (1992),Action|Drama
458,523,Ruby in Paradise (1993),Drama
459,524,Rudy (1993),Drama
460,526,"Savage Nights (Nuits fauves, Les) (1992)",Drama
461,527,Schindler's List (1993),Drama|War
462,528,"Scout, The (1994)",Comedy|Drama
463,529,Searching for Bobby Fischer (1993),Drama
464,531,"Secret Garden, The (1993)",Children|Drama
467,534,Shadowlands (1993),Drama|Romance
468,535,Short Cuts (1993),Drama
469,536,"Simple Twist of Fate, A (1994)",Drama
470,537,Sirens (1994),Drama
471,538,Six Degrees of Separation (1993),Drama
472,539,Sleepless in Seattle (1993),Comedy|Drama|Romance
475,542,Son in Law (1993),Comedy|Drama|Romance
481,549,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical
485,553,Tombstone (1993),Action|Drama|Western
489,562,Welcome to the Dollhouse (1995),Comedy|Drama
490,563,Germinal (1993),Drama|Romance
492,567,Kika (1993),Comedy|Drama
493,568,Bhaji on the Beach (1993),Comedy|Drama
494,569,Little Big League (1994),Comedy|Drama
495,573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama
496,574,Spanking the Monkey (1994),Comedy|Drama
498,577,Andre (1994),Adventure|Children|Drama
500,580,Princess Caraboo (1994),Drama
502,583,Dear Diary (Caro Diario) (1994),Comedy|Drama
505,587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
508,590,Dances with Wolves (1990),Adventure|Drama|Western
511,594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
518,605,One Fine Day (1996),Drama|Romance
520,608,Fargo (1996),Comedy|Crime|Drama|Thriller
525,613,Jane Eyre (1996),Drama|Romance
526,615,Bread and Chocolate (Pane e cioccolata) (1973),Comedy|Drama
528,617,"Flower of My Secret, The (La flor de mi secreto) (1995)",Comedy|Drama
532,627,"Last Supper, The (1995)",Drama|Thriller
533,628,Primal Fear (1996),Crime|Drama|Mystery|Thriller
535,632,Land and Freedom (Tierra y libertad) (1995),Drama|War
538,635,"Family Thing, A (1996)",Comedy|Drama
539,636,Frisk (1995),Drama
542,639,Girl 6 (1996),Comedy|Drama
543,640,Diabolique (1996),Drama|Thriller
544,645,Nelly & Monsieur Arnaud (1995),Drama
545,647,Courage Under Fire (1996),Action|Crime|Drama|War
547,649,Cold Fever (Á köldum klaka) (1995),Comedy|Drama
548,650,Moll Flanders (1996),Drama
554,665,Underground (1995),Comedy|Drama|War
556,668,Song of the Little Road (Pather Panchali) (1955),Drama
557,670,"World of Apu, The (Apur Sansar) (1959)",Drama
561,678,Some Folks Call It a Sling Blade (1993),Drama|Thriller
562,679,"Run of the Country, The (1995)",Drama
563,680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama|Mystery|Romance|Sci-Fi|Thriller
564,685,It's My Party (1996),Drama
568,694,"Substitute, The (1996)",Action|Crime|Drama
570,697,Feeling Minnesota (1996),Drama|Romance
571,698,Delta of Venus (1995),Drama
573,703,Boys (1996),Drama
575,706,Sunset Park (1996),Drama
576,707,Mulholland Falls (1996),Crime|Drama|Thriller
581,714,Dead Man (1995),Drama|Mystery|Western
582,715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Drama|Romance
587,724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller
589,726,Last Dance (1996),Drama
603,757,Ashes of Time (Dung che sai duk) (1994),Drama
605,760,Stalingrad (1993),Drama|War
608,764,Heavy (1995),Drama|Romance
609,765,Jack (1996),Comedy|Drama
610,766,I Shot Andy Warhol (1996),Drama
611,773,Touki Bouki (1973),Drama
613,778,Trainspotting (1996),Comedy|Crime|Drama
614,779,'Til There Was You (1997),Drama|Romance
616,781,Stealing Beauty (1996),Drama
617,782,"Fan, The (1996)",Drama|Thriller
618,783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance
621,786,Eraser (1996),Action|Drama|Thriller
623,790,"Unforgettable Summer, An (Un été inoubliable) (1994)",Drama
625,795,Somebody to Love (1994),Drama
626,798,Daylight (1996),Action|Adventure|Drama|Thriller
628,800,Lone Star (1996),Drama|Mystery|Western
630,802,Phenomenon (1996),Drama|Romance
631,803,Walking and Talking (1996),Comedy|Drama|Romance
633,805,"Time to Kill, A (1996)",Drama|Thriller
634,806,American Buffalo (1996),Crime|Drama
640,823,"Collector, The (La collectionneuse) (1967)",Drama
641,824,Kaspar Hauser (1993),Drama|Mystery
647,835,Foxfire (1996),Drama
650,838,Emma (1996),Comedy|Drama|Romance
655,848,"Spitfire Grill, The (1996)",Drama
657,851,Basquiat (1996),Drama
658,852,Tin Cup (1996),Comedy|Drama|Romance
659,858,"Godfather, The (1972)",Crime|Drama
661,866,Bound (1996),Crime|Drama|Romance|Thriller
663,869,Kansas City (1996),Crime|Drama|Musical|Thriller
665,875,Nothing to Lose (1994),Action|Crime|Drama
670,882,"Trigger Effect, The (1996)",Drama|Thriller
671,885,Bogus (1996),Children|Drama|Fantasy
674,889,1-900 (06) (1994),Drama|Romance
676,892,Twelfth Night (1996),Comedy|Drama|Romance
677,893,Mother Night (1996),Drama
678,896,Wild Reeds (Les roseaux sauvages) (1994),Drama
679,897,For Whom the Bell Tolls (1943),Adventure|Drama|Romance|War
680,898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance
684,902,Breakfast at Tiffany's (1961),Drama|Romance
685,903,Vertigo (1958),Drama|Mystery|Romance|Thriller
688,906,Gaslight (1944),Drama|Thriller
691,909,"Apartment, The (1960)",Comedy|Drama|Romance
694,912,Casablanca (1942),Drama|Romance
696,914,My Fair Lady (1964),Comedy|Drama|Musical|Romance
698,916,Roman Holiday (1953),Comedy|Drama|Romance
699,917,"Little Princess, The (1939)",Children|Drama
702,920,Gone with the Wind (1939),Drama|Romance|War
704,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
705,923,Citizen Kane (1941),Drama|Mystery
706,924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
707,926,All About Eve (1950),Drama
709,928,Rebecca (1940),Drama|Mystery|Romance|Thriller
710,929,Foreign Correspondent (1940),Drama|Film-Noir|Mystery|Thriller
713,932,"Affair to Remember, An (1957)",Drama|Romance
723,943,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance
724,944,Lost Horizon (1937),Drama
726,946,To Be or Not to Be (1942),Comedy|Drama|War
728,948,Giant (1956),Drama|Romance|Western
729,949,East of Eden (1955),Drama
733,953,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance
734,954,Mr. Smith Goes to Washington (1939),Drama
736,956,Penny Serenade (1941),Drama|Romance
737,959,Of Human Bondage (1934),Drama
738,961,Little Lord Fauntleroy (1936),Drama
740,965,"39 Steps, The (1935)",Drama|Mystery|Thriller
743,970,Beat the Devil (1953),Adventure|Comedy|Crime|Drama|Romance
744,971,Cat on a Hot Tin Roof (1958),Drama
745,973,Meet John Doe (1941),Comedy|Drama
747,979,Nothing Personal (1995),Drama|War
748,981,Dangerous Ground (1997),Drama
749,982,Picnic (1955),Drama
750,984,"Pompatus of Love, The (1996)",Comedy|Drama
752,987,Bliss (1997),Drama|Romance
753,988,Grace of My Heart (1996),Comedy|Drama
755,991,Michael Collins (1996),Drama
756,993,Infinity (1996),Drama
757,994,Big Night (1996),Comedy|Drama
758,996,Last Man Standing (1996),Action|Crime|Drama|Thriller
761,1003,Extreme Measures (1996),Drama|Thriller
764,1006,"Chamber, The (1996)",Drama
770,1012,Old Yeller (1957),Children|Drama
772,1014,Pollyanna (1960),Children|Comedy|Drama
773,1015,Homeward Bound: The Incredible Journey (1993),Adventure|Children|Drama
777,1019,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi
784,1027,Robin Hood: Prince of Thieves (1991),Adventure|Drama
786,1029,Dumbo (1941),Animation|Children|Drama|Musical
790,1033,"Fox and the Hound, The (1981)",Animation|Children|Drama
791,1034,Freeway (1996),Comedy|Crime|Drama|Thriller
795,1040,"Secret Agent, The (1996)",Drama
796,1041,Secrets & Lies (1996),Drama
797,1042,That Thing You Do! (1996),Comedy|Drama
798,1043,To Gillian on Her 37th Birthday (1996),Drama|Romance
799,1046,Beautiful Thing (1996),Drama|Romance
800,1047,"Long Kiss Goodnight, The (1996)",Action|Drama|Thriller
802,1050,Looking for Richard (1996),Documentary|Drama
803,1051,Trees Lounge (1996),Drama
804,1053,Normal Life (1996),Crime|Drama|Romance
805,1054,Get on the Bus (1996),Drama
807,1056,Jude (1996),Drama
809,1059,William Shakespeare's Romeo + Juliet (1996),Drama|Romance
810,1060,Swingers (1996),Comedy|Drama
816,1076,"Innocents, The (1961)",Drama|Horror|Thriller
822,1082,"Candidate, The (1972)",Drama
824,1084,Bonnie and Clyde (1967),Crime|Drama
825,1085,"Old Man and the Sea, The (1958)",Adventure|Drama
827,1088,Dirty Dancing (1987),Drama|Musical|Romance
829,1090,Platoon (1986),Drama|War
832,1093,"Doors, The (1991)",Drama
833,1094,"Crying Game, The (1992)",Drama|Romance|Thriller
834,1095,Glengarry Glen Ross (1992),Drama
835,1096,Sophie's Choice (1982),Drama
836,1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
837,1099,"Christmas Carol, A (1938)",Children|Drama|Fantasy
838,1100,Days of Thunder (1990),Action|Drama|Romance
840,1103,Rebel Without a Cause (1955),Drama
841,1104,"Streetcar Named Desire, A (1951)",Drama
845,1112,Palookaville (1996),Action|Comedy|Drama
846,1114,"Funeral, The (1996)",Crime|Drama
847,1116,"Single Girl, A (Fille seule, La) (1995)",Drama
848,1117,"Eighth Day, The (Huitième jour, Le) (1996)",Drama
849,1119,Drunks (1995),Drama
850,1120,"People vs. Larry Flynt, The (1996)",Comedy|Drama
851,1121,Glory Daze (1995),Drama
853,1124,On Golden Pond (1981),Drama
860,1131,Jean de Florette (1986),Drama|Mystery
861,1132,Manon of the Spring (Manon des sources) (1986),Drama
865,1140,Entertaining Angels: The Dorothy Day Story (1996),Drama
869,1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",Drama
870,1151,Lesson Faust (1994),Animation|Comedy|Drama|Fantasy
871,1156,"Children Are Watching Us, The (Bambini ci guardano, I) (1944)",Drama
872,1161,"Tin Drum, The (Blechtrommel, Die) (1979)",Drama|War
873,1162,"Ruling Class, The (1972)",Comedy|Drama
874,1163,Mina Tannenbaum (1994),Drama
878,1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama
879,1173,"Cook the Thief His Wife & Her Lover, The (1989)",Comedy|Drama
880,1175,Delicatessen (1991),Comedy|Drama|Romance
881,1176,"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",Drama|Fantasy|Romance
882,1177,Enchanted April (1992),Drama|Romance
883,1178,Paths of Glory (1957),Drama|War
884,1179,"Grifters, The (1990)",Crime|Drama|Film-Noir
886,1183,"English Patient, The (1996)",Drama|Romance|War
887,1184,Mediterraneo (1991),Comedy|Drama
888,1185,My Left Foot (1989),Drama
889,1186,"Sex, Lies, and Videotape (1989)",Drama
890,1187,Passion Fish (1992),Drama
893,1190,Tie Me Up! Tie Me Down! (¡Átame!) (1990),Crime|Drama|Romance
896,1193,One Flew Over the Cuckoo's Nest (1975),Drama
905,1203,12 Angry Men (1957),Drama
906,1204,Lawrence of Arabia (1962),Adventure|Drama|War
907,1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
908,1207,To Kill a Mockingbird (1962),Drama
909,1208,Apocalypse Now (1979),Action|Drama|War
910,1209,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western
912,1211,"Wings of Desire (Himmel über Berlin, Der) (1987)",Drama|Fantasy|Romance
914,1213,Goodfellas (1990),Crime|Drama
917,1216,"Big Blue, The (Grand bleu, Le) (1988)",Adventure|Drama|Romance
918,1217,Ran (1985),Drama|War
919,1218,"Killer, The (Die xue shuang xiong) (1989)",Action|Crime|Drama|Thriller
922,1221,"Godfather: Part II, The (1974)",Crime|Drama
923,1222,Full Metal Jacket (1987),Drama|War
925,1224,Henry V (1989),Action|Drama|Romance|War
926,1225,Amadeus (1984),Drama
927,1226,"Quiet Man, The (1952)",Drama|Romance
928,1227,Once Upon a Time in America (1984),Crime|Drama
929,1228,Raging Bull (1980),Drama
931,1231,"Right Stuff, The (1983)",Drama
932,1232,Stalker (1979),Drama|Mystery|Sci-Fi
933,1233,"Boot, Das (Boat, The) (1981)",Action|Drama|War
935,1235,Harold and Maude (1971),Comedy|Drama|Romance
936,1236,Trust (1990),Comedy|Drama|Romance
937,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama
941,1242,Glory (1989),Drama|War
942,1243,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama
943,1244,Manhattan (1979),Comedy|Drama|Romance
944,1245,Miller's Crossing (1990),Crime|Drama|Film-Noir|Thriller
945,1246,Dead Poets Society (1989),Drama
946,1247,"Graduate, The (1967)",Comedy|Drama|Romance
949,1250,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
950,1251,8 1/2 (8½) (1963),Drama|Fantasy
952,1253,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi|Thriller
953,1254,"Treasure of the Sierra Madre, The (1948)",Action|Adventure|Drama|Western
958,1259,Stand by Me (1986),Adventure|Drama
961,1262,"Great Escape, The (1963)",Action|Adventure|Drama|War
962,1263,"Deer Hunter, The (1978)",Drama|War
963,1264,Diva (1981),Action|Drama|Mystery|Romance|Thriller
965,1266,Unforgiven (1992),Drama|Western
967,1268,Pump Up the Volume (1990),Comedy|Drama
970,1271,Fried Green Tomatoes (1991),Comedy|Crime|Drama
971,1272,Patton (1970),Drama|War
972,1273,Down by Law (1986),Comedy|Drama|Film-Noir
975,1276,Cool Hand Luke (1967),Drama
976,1277,Cyrano de Bergerac (1990),Comedy|Drama|Romance
978,1279,Night on Earth (1991),Comedy|Drama
979,1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama
980,1281,"Great Dictator, The (1940)",Comedy|Drama|War
982,1283,High Noon (1952),Drama|Western
985,1286,Somewhere in Time (1980),Drama|Romance
986,1287,Ben-Hur (1959),Action|Adventure|Drama
989,1290,Some Kind of Wonderful (1987),Drama|Romance
991,1292,Being There (1979),Comedy|Drama
992,1293,Gandhi (1982),Drama
993,1295,"Unbearable Lightness of Being, The (1988)",Drama
994,1296,"Room with a View, A (1986)",Drama|Romance
996,1298,Pink Floyd: The Wall (1982),Drama|Musical
997,1299,"Killing Fields, The (1984)",Drama|War
998,1300,My Life as a Dog (Mitt liv som hund) (1985),Comedy|Drama
999,1301,Forbidden Planet (1956),Drama|Sci-Fi
1000,1302,Field of Dreams (1989),Children|Drama|Fantasy
1001,1303,"Man Who Would Be King, The (1975)",Adventure|Drama
1003,1305,"Paris, Texas (1984)",Drama|Romance
1004,1306,Until the End of the World (Bis ans Ende der Welt) (1991),Adventure|Drama|Sci-Fi
1007,1312,Female Perversions (1996),Drama
1008,1318,Blue Juice (1995),Comedy|Drama
1016,1327,"Amityville Horror, The (1979)",Drama|Horror|Mystery|Thriller
1026,1337,"Body Snatcher, The (1945)",Drama|Horror|Thriller
1028,1340,"Bride of Frankenstein, The (Bride of Frankenstein) (1935)",Drama|Horror|Sci-Fi
1032,1344,Cape Fear (1962),Crime|Drama|Thriller
